identificador,codigo,vereda_codigo,numero_subterraneos,codigo_anterior,tipo_predio,derecho,tipo_documento,matricula,acto_registral,ente_emisor,numero_fuente,propietario,tipo_de_documento_de_identificacion,numero_documento,estado_folio,telefono,grupo_etnico,estado_civil,fecha
689,683070000000000150039000000000,68307000000000015,0,68307000000150039000,RURAL,DOMINIO,ESCRITURA,300-15989,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,4576,Bernardo Camino Vicens,CC,783695270,ABIERTO,3143538109,NINGUNO,CASADO,23/01/2002
690,683070000000000150136000000000,68307000000000015,0,68307000000150136000,RURAL,DOMINIO,ESCRITURA,300-15990,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,1436,Amada Morera Amaya,CC,757873929,ABIERTO,3118701879,NINGUNO,CASADO,27/03/1960
691,683070000000000150176000000000,68307000000000015,0,68307000000150176000,RURAL,DOMINIO,ESCRITURA,300-15991,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,5604,Rodolfo Agudo Llabrés,CC,421055695,ABIERTO,3109649980,NINGUNO,CASADO,21/02/2003
692,683070000000000150137000000000,68307000000000015,0,68307000000150137000,RURAL,DOMINIO,ESCRITURA,300-15992,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,1814,Fátima Borrás Jara,CC,377566238,ABIERTO,3191152181,NINGUNO,CASADO,14/01/1952
693,683070000000000150156000000000,68307000000000015,0,68307000000150156000,RURAL,DOMINIO,ESCRITURA,300-15993,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,2222,Débora Piña Taboada,CC,911087806,ABIERTO,3109808244,NINGUNO,CASADO,16/04/2005
694,683070000000000150157000000000,68307000000000015,0,68307000000150157000,RURAL,DOMINIO,ESCRITURA,300-15994,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,7091,Águeda Palacio,CC,799975874,ABIERTO,3123726012,NINGUNO,CASADO,10/03/2019
695,683070000000000150128000000000,68307000000000015,0,68307000000150128000,RURAL,DOMINIO,ESCRITURA,300-15995,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,1046,Charo Iniesta Valcárcel,CC,462823642,ABIERTO,3107834997,NINGUNO,CASADO,09/09/2020
696,683070000000000150135000000000,68307000000000015,0,68307000000150135000,RURAL,DOMINIO,ESCRITURA,300-15996,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,2789,Lorenza Castilla Gargallo,CC,65939202,ABIERTO,3177494906,NINGUNO,CASADO,27/02/2002
697,683070000000000150129000000000,68307000000000015,0,68307000000150129000,RURAL,DOMINIO,ESCRITURA,300-15997,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,789,Inés Arellano Luna,CC,616862279,ABIERTO,3163670845,NINGUNO,CASADO,08/03/1957
698,683070000000000150013000000000,68307000000000015,0,68307000000150013000,RURAL,DOMINIO,ESCRITURA,300-15998,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,5215,María Valderrama-Ochoa,CC,824478594,ABIERTO,3188103596,NINGUNO,CASADO,23/05/1987
699,683070000000000150140000000000,68307000000000015,0,68307000000150140000,RURAL,DOMINIO,ESCRITURA,300-15999,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,4595,Ciríaco Soriano,CC,434571292,ABIERTO,3152843079,NINGUNO,CASADO,17/09/2001
700,683070000000000150145000000000,68307000000000015,0,68307000000150145000,RURAL,DOMINIO,ESCRITURA,300-16000,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,2835,Desiderio Quique Bonilla Cabeza,CC,803519563,ABIERTO,3186980905,NINGUNO,CASADO,17/01/2009
701,683070000000000150144000000000,68307000000000015,0,68307000000150144000,RURAL,OCUPASION,ESCRITURA,300-16001,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,5532,Ruben Lladó Zamorano,CC,203414806,ABIERTO,3156148274,NINGUNO,CASADO,25/05/2005
702,683070000000000150014000000000,68307000000000015,0,68307000000150014000,RURAL,OCUPASION,ESCRITURA,300-16002,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,4745,Tadeo Cuevas Pozuelo,CC,638964070,ABIERTO,3160406071,NINGUNO,CASADO,16/09/1994
703,683070000000000150143000000000,68307000000000015,0,68307000000150143000,RURAL,OCUPASION,ESCRITURA,300-16003,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,2915,Camila Sala Lopez,CC,364380213,ABIERTO,3191150395,NINGUNO,CASADO,03/06/1974
704,683070000000000150146000000000,68307000000000015,0,68307000000150146000,RURAL,OCUPASION,ESCRITURA,300-16004,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,1453,Eligio del Villalobos,CC,906068914,ABIERTO,3140720961,NINGUNO,CASADO,08/12/2003
705,683070000000000150148000000000,68307000000000015,0,68307000000150148000,RURAL,OCUPASION,ESCRITURA,300-16005,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,3169,Rosalía Merche Perelló Pol,CC,972495373,ABIERTO,3128920047,NINGUNO,CASADO,27/01/1990
706,683070000000000150142000000000,68307000000000015,0,68307000000150142000,RURAL,OCUPASION,ESCRITURA,300-16006,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,2590,Jordi Vidal Cuéllar,CC,928743502,ABIERTO,3141752419,NINGUNO,CASADO,25/02/1960
707,683070000000000150124000000000,68307000000000015,0,68307000000150124000,RURAL,OCUPASION,ESCRITURA,300-16007,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,6901,Vicenta Bas Garzón,CC,413384007,ABIERTO,3180392625,NINGUNO,CASADO,04/03/1977
708,683070000000000150126000000000,68307000000000015,0,68307000000150126000,RURAL,OCUPASION,ESCRITURA,300-16008,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,3222,Vicente del Cámara,CC,494115751,ABIERTO,3102734711,NINGUNO,CASADO,11/02/1950
709,683070000000000150138000000000,68307000000000015,0,68307000000150138000,RURAL,OCUPASION,ESCRITURA,300-16009,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,3207,Fabiana Cruz Leon Amaya,CC,176377859,ABIERTO,3148133424,NINGUNO,CASADO,01/03/2002
710,683070000000000150218000000000,68307000000000015,0,68307000000150218000,RURAL,DOMINIO,ESCRITURA,300-16010,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,3982,Guiomar Jaén Mayol,CC,574158742,ABIERTO,3104260039,NINGUNO,CASADO,01/01/1970
711,683070000000000150210000000000,68307000000000015,0,68307000000150210000,RURAL,OCUPASION,ESCRITURA,300-16011,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,2063,Ainara Marin,CC,961967261,ABIERTO,3162273809,NINGUNO,CASADO,15/07/1959
712,683070000000000150127000000000,68307000000000015,0,68307000000150127000,RURAL,DOMINIO,ESCRITURA,300-16012,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,1319,Ema del Múgica,CC,236191451,ABIERTO,3157005398,NINGUNO,CASADO,28/07/1973
713,683070000000000120019000000000,68307000000000012,0,68307000000120019000,RURAL,DOMINIO,ESCRITURA,300-16013,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,5203,Ignacia Expósito Cal,CC,89191826,ABIERTO,3138772446,NINGUNO,CASADO,23/07/1952
714,683070000000000120080000000000,68307000000000012,0,68307000000120080000,RURAL,DOMINIO,ESCRITURA,300-16014,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,7222,Silvio Quesada Ferrera,CC,728844693,ABIERTO,3103868215,NINGUNO,CASADO,25/08/2003
715,683070000000000120082000000000,68307000000000012,0,68307000000120082000,RURAL,DOMINIO,ESCRITURA,300-16015,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,2069,Adrián Toledo-Palacios,CC,367509909,ABIERTO,3114297636,NINGUNO,CASADO,07/05/1990
716,683070000000000120057000000000,68307000000000012,0,68307000000120057000,RURAL,DOMINIO,ESCRITURA,300-16016,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,5978,Chema Riera Sacristán,CC,661828293,ABIERTO,3190537988,NINGUNO,CASADO,09/05/2015
717,683070000000000120056000000000,68307000000000012,0,68307000000120056000,RURAL,DOMINIO,ESCRITURA,300-16017,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,5813,Cebrián Seco Roma,CC,954623577,ABIERTO,3131898903,NINGUNO,CASADO,24/01/2014
718,683070000000000120011000000000,68307000000000012,0,68307000000120011000,RURAL,DOMINIO,ESCRITURA,300-16018,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,6607,Víctor Maestre Borrell,CC,772607641,ABIERTO,3182120907,NINGUNO,CASADO,02/06/1987
719,683070000000000110167000000000,68307000000000011,0,68307000000110167000,RURAL,DOMINIO,ESCRITURA,300-16019,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,7365,Leopoldo Juan Pablo Parejo Sancho,CC,987124660,ABIERTO,3165543409,NINGUNO,CASADO,14/10/2003
720,683070000000000110055000000000,68307000000000011,0,68307000000110055000,RURAL,DOMINIO,ESCRITURA,300-16020,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,416,Encarnación Escobar Casares,CC,376035582,ABIERTO,3176330198,NINGUNO,CASADO,15/04/1955
721,683070000000000110057000000000,68307000000000011,0,68307000000110057000,RURAL,DOMINIO,ESCRITURA,300-16021,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,7733,Amílcar Jurado,CC,749859856,ABIERTO,3121184788,NINGUNO,CASADO,07/02/1957
722,683070000000000130104000000000,68307000000000013,0,68307000000130104000,RURAL,DOMINIO,ESCRITURA,300-16022,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,352,Ricarda Carreño-Camino,CC,484317296,ABIERTO,3126643942,NINGUNO,SIN INFORMACION,15/11/1954
723,683070000000000130092000000000,68307000000000013,0,68307000000130092000,RURAL,DOMINIO,ESCRITURA,300-16023,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,4651,Prudencio Aguilar,CC,794929687,ABIERTO,3106390134,NINGUNO,SIN INFORMACION,20/08/2000
724,683070000000000130094000000000,68307000000000013,0,68307000000130094000,RURAL,DOMINIO,ESCRITURA,300-16024,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,1750,Julián Aragonés Royo,CC,160801604,ABIERTO,3133976761,NINGUNO,SIN INFORMACION,18/10/2020
725,683070000000000130095000000000,68307000000000013,0,68307000000130095000,RURAL,DOMINIO,ESCRITURA,300-16025,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,1883,Urbano Castelló-Vives,CC,915051996,ABIERTO,3119869998,NINGUNO,SIN INFORMACION,02/03/1953
726,683070000000000130090000000000,68307000000000013,0,68307000000130090000,RURAL,DOMINIO,ESCRITURA,300-16026,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,6883,Gervasio Corral Font,CC,359488626,ABIERTO,3135561231,NINGUNO,SIN INFORMACION,17/06/1987
727,683070000000000130117000000000,68307000000000013,0,68307000000130117000,RURAL,DOMINIO,ESCRITURA,300-16027,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,662,Adelaida de Moll,CC,237238050,ABIERTO,3115888305,NINGUNO,SIN INFORMACION,28/12/2010
728,683070000000000130106000000000,68307000000000013,0,68307000000130106000,RURAL,DOMINIO,ESCRITURA,300-16028,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,2845,Vilma Guillén Maldonado,CC,155742563,ABIERTO,3131798244,NINGUNO,SIN INFORMACION,22/08/1989
729,683070000000000130083000000000,68307000000000013,0,68307000000130083000,RURAL,DOMINIO,ESCRITURA,300-16029,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,6861,Ana Sofía Gomila-Noguera,CC,69639684,ABIERTO,3164233759,NINGUNO,SIN INFORMACION,06/03/2011
730,683070000000000130115000000000,68307000000000013,0,68307000000130115000,RURAL,DOMINIO,ESCRITURA,300-16030,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,7082,Virgilio Canals Sobrino,CC,728992550,ABIERTO,3177317388,NINGUNO,SIN INFORMACION,13/01/1990
731,683070000000000130108000000000,68307000000000013,0,68307000000130108000,RURAL,DOMINIO,ESCRITURA,300-16031,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,6553,Mario Español Cazorla,CC,332116822,ABIERTO,3173952632,NINGUNO,SIN INFORMACION,13/05/1977
732,683070000000000130082000000000,68307000000000013,0,68307000000130082000,RURAL,DOMINIO,ESCRITURA,300-16032,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,4543,Abril Abella Patiño,CC,756601804,ABIERTO,3162983166,NINGUNO,SIN INFORMACION,03/08/2009
733,683070000000000130107000000000,68307000000000013,0,68307000000130107000,RURAL,DOMINIO,ESCRITURA,300-16033,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,1512,Gastón Maestre Cortes,CC,344082160,ABIERTO,3173120242,NINGUNO,SIN INFORMACION,12/10/1979
734,683070000000000130122000000000,68307000000000013,0,68307000000130122000,RURAL,DOMINIO,ESCRITURA,300-16034,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,5135,Nacho Real Pérez,CC,224914194,ABIERTO,3191477456,NINGUNO,SIN INFORMACION,08/11/2016
735,683070000000000130086000000000,68307000000000013,0,68307000000130086000,RURAL,DOMINIO,ESCRITURA,300-16035,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,4145,Nicolás Márquez Pol,CC,278169752,ABIERTO,3111513720,NINGUNO,SIN INFORMACION,14/01/1996
736,683070000000000130105000000000,68307000000000013,0,68307000000130105000,RURAL,DOMINIO,ESCRITURA,300-16036,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,3937,Leonardo Correa Cuevas,CC,301821757,ABIERTO,3141596541,NINGUNO,SIN INFORMACION,18/11/2002
737,683070000000000080307000000000,68307000000000008,0,68307000000080307000,RURAL,DOMINIO,ESCRITURA,300-16037,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,6985,Cornelio Cifuentes Sacristán,CC,52962870,ABIERTO,3129299666,NINGUNO,SIN INFORMACION,12/11/2002
738,683070000000000080308000000000,68307000000000008,0,68307000000080308000,RURAL,DOMINIO,ESCRITURA,300-16038,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,2241,Soledad Catalán-Méndez,CC,184020917,ABIERTO,3175704330,NINGUNO,SIN INFORMACION,02/08/1968
739,683070000000000080324000000000,68307000000000008,0,68307000000080324000,RURAL,DOMINIO,ESCRITURA,300-16039,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,1899,Eric Alberdi,CC,992384382,ABIERTO,3112762005,NINGUNO,SIN INFORMACION,18/12/2012
740,683070000000000080349000000000,68307000000000008,0,68307000000080349000,RURAL,DOMINIO,ESCRITURA,300-16040,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,3231,Emma de Prada,CC,199794779,ABIERTO,3122473976,NINGUNO,SIN INFORMACION,28/03/1962
741,683070000000000080393000000000,68307000000000008,0,68307000000080393000,RURAL,DOMINIO,ESCRITURA,300-16041,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,3712,Paulina Lluch Fuentes,CC,773947020,ABIERTO,3177931408,NINGUNO,SIN INFORMACION,16/05/1977
742,683070000000000080302000000000,68307000000000008,0,68307000000080302000,RURAL,DOMINIO,ESCRITURA,300-16042,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,4300,Evelia Moles Valbuena,CC,387838500,ABIERTO,3113022252,NINGUNO,SIN INFORMACION,09/01/2010
743,683070000000000080089000000000,68307000000000008,0,68307000000080089000,RURAL,DOMINIO,ESCRITURA,300-16043,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,1124,Coral Sanz Ros,CC,326413902,ABIERTO,3103815546,NINGUNO,SIN INFORMACION,12/03/1962
744,683070000000000170119000000000,68307000000000017,0,68307000000170119000,RURAL,DOMINIO,ESCRITURA,300-16044,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,706,Leoncio Borrego-Jódar,CC,14579378,ABIERTO,3147114587,NINGUNO,SIN INFORMACION,16/09/1958
745,683070000000000170001000000000,68307000000000017,0,68307000000170001000,RURAL,DOMINIO,ESCRITURA,300-16045,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,3890,Ángel de Mate,CC,706750121,ABIERTO,3122155609,NINGUNO,SIN INFORMACION,09/02/1964
746,683070000000000170035000000000,68307000000000017,0,68307000000170035000,RURAL,DOMINIO,ESCRITURA,300-16046,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,1461,Candelas Gallardo Sebastián,CC,282162869,ABIERTO,3125426889,NINGUNO,SIN INFORMACION,11/06/1980
747,683070000000000170034000000000,68307000000000017,0,68307000000170034000,RURAL,DOMINIO,ESCRITURA,300-16047,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,3395,Armida Carmona Noriega,CC,585127542,ABIERTO,3188999726,NINGUNO,SIN INFORMACION,03/04/2003
748,683070000000000170029000000000,68307000000000017,0,68307000000170029000,RURAL,DOMINIO,ESCRITURA,300-16048,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,7045,Curro Ángel Borja Torrecilla,CC,140019680,ABIERTO,3174856413,NINGUNO,SIN INFORMACION,12/07/1962
749,683070000000000170021000000000,68307000000000017,0,68307000000170021000,RURAL,DOMINIO,ESCRITURA,300-16049,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,473,Graciana Gonzalez Rey,CC,11475348,ABIERTO,3148579071,NINGUNO,SIN INFORMACION,02/10/1987
750,683070000000000170094000000000,68307000000000017,0,68307000000170094000,RURAL,DOMINIO,ESCRITURA,300-16050,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,7297,Plácido Benito Gonzalez,CC,851867874,ABIERTO,3190534456,NINGUNO,SIN INFORMACION,19/07/1999
751,683070000000000170016000000000,68307000000000017,0,68307000000170016000,RURAL,DOMINIO,ESCRITURA,300-16051,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,948,Iván Espada-Bustamante,CC,671531375,ABIERTO,3149007258,NINGUNO,SIN INFORMACION,23/02/1998
752,683070000000000170120000000000,68307000000000017,0,68307000000170120000,RURAL,DOMINIO,ESCRITURA,300-16052,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,971,Maricela Moya España,CC,899649153,ABIERTO,3117600229,NINGUNO,SIN INFORMACION,07/03/2005
753,683070000000000170012000000000,68307000000000017,0,68307000000170012000,RURAL,DOMINIO,ESCRITURA,300-16053,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,7346,Violeta Diéguez Torre,CC,97269138,ABIERTO,3143106719,NINGUNO,SIN INFORMACION,20/10/2004
754,683070000000000170314000000000,68307000000000017,0,68307000000170314000,RURAL,DOMINIO,ESCRITURA,300-16054,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,1653,Manuel Leonardo Acevedo Serra,CC,511667137,ABIERTO,3140932866,NINGUNO,SIN INFORMACION,06/02/2019
755,683070000000000010083000000000,68307000000000001,0,68307000000010083000,RURAL,DOMINIO,ESCRITURA,300-16055,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,1069,León Armas,CC,100028297,ABIERTO,3177026875,NINGUNO,SIN INFORMACION,24/04/1994
756,683070000000000010464000000000,68307000000000001,0,68307000000010464000,RURAL,DOMINIO,ESCRITURA,300-16056,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,815,Amílcar Villaverde,CC,183639480,ABIERTO,3134586832,NINGUNO,SIN INFORMACION,10/04/1988
757,683070000000000010425000000000,68307000000000001,0,68307000000010425000,RURAL,DOMINIO,ESCRITURA,300-16057,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,1814,Renata Casal,CC,337139864,ABIERTO,3119306370,NINGUNO,SIN INFORMACION,01/02/1988
758,683070000000000010427000000000,68307000000000001,0,68307000000010427000,RURAL,DOMINIO,ESCRITURA,300-16058,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,7159,Fanny Mendez Arana,CC,165433162,ABIERTO,3188405762,NINGUNO,SIN INFORMACION,24/06/1977
759,683070000000000010470000000000,68307000000000001,0,68307000000010470000,RURAL,DOMINIO,ESCRITURA,300-16059,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,2568,Anastasia Arnau-Botella,CC,37459568,ABIERTO,3119058530,NINGUNO,SIN INFORMACION,27/10/2007
760,683070000000000010433000000000,68307000000000001,0,68307000000010433000,RURAL,DOMINIO,ESCRITURA,300-16060,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,466,Evangelina Dueñas Frutos,CC,347060588,ABIERTO,3190726185,NINGUNO,SIN INFORMACION,05/05/2010
761,683070000000000010428000000000,68307000000000001,0,68307000000010428000,RURAL,DOMINIO,ESCRITURA,300-16061,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,6440,Baudelio España Gomis,CC,766680296,ABIERTO,3163632589,NINGUNO,SIN INFORMACION,07/11/1985
762,683070000000000018007000000000,68307000000000001,0,68307000000018007000,RURAL,DOMINIO,ESCRITURA,300-16062,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,488,Teodoro Tejero,CC,364739671,ABIERTO,3126822381,NINGUNO,SIN INFORMACION,26/07/2021
763,683070000000000010897000000000,68307000000000001,0,68307000000010897000,RURAL,DOMINIO,ESCRITURA,300-16063,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,1826,Álvaro Tejera Escrivá,CC,101231312,ABIERTO,3100383243,NINGUNO,SIN INFORMACION,13/04/1989
764,683070000000000080358000000000,68307000000000008,0,68307000000080358000,RURAL,DOMINIO,ESCRITURA,300-16064,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,6716,Feliciano Olmedo Portillo,CC,102941283,ABIERTO,3166973385,NINGUNO,SIN INFORMACION,13/09/1989
765,683070000000000080054000000000,68307000000000008,0,68307000000080054000,RURAL,DOMINIO,ESCRITURA,300-16065,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,671,Rodolfo Mendoza Alegre,CC,92299401,ABIERTO,3122262499,NINGUNO,SIN INFORMACION,15/12/1953
766,683070000000000080053000000000,68307000000000008,0,68307000000080053000,RURAL,DOMINIO,ESCRITURA,300-16066,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,6510,Eutropio Villalba Morante,CC,988386472,ABIERTO,3118764630,NINGUNO,SIN INFORMACION,23/08/2002
767,683070000000000080056000000000,68307000000000008,0,68307000000080056000,RURAL,DOMINIO,ESCRITURA,300-16067,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,6830,Gervasio Chico,CC,960530379,ABIERTO,3102665669,NINGUNO,SIN INFORMACION,23/04/2009
768,683070000000000080045000000000,68307000000000008,0,68307000000080045000,RURAL,DOMINIO,ESCRITURA,300-16068,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,2624,Edelmira Montalbán Santana,CC,620268306,ABIERTO,3174855016,NINGUNO,SIN INFORMACION,16/10/1955
769,683070000000000080300000000000,68307000000000008,0,68307000000080300000,RURAL,DOMINIO,ESCRITURA,300-16069,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,3971,Sebastián Hierro Cabezas,CC,401239333,ABIERTO,3163625320,NINGUNO,SIN INFORMACION,14/02/2017
770,683070000000000080321000000000,68307000000000008,0,68307000000080321000,RURAL,DOMINIO,ESCRITURA,300-16070,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,2547,Efraín Solano Tejedor,CC,405506743,ABIERTO,3151968556,NINGUNO,SIN INFORMACION,22/01/1954
771,683070000000000080301000000000,68307000000000008,0,68307000000080301000,RURAL,DOMINIO,ESCRITURA,300-16071,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,4034,Gertrudis Ramírez Cañizares,CC,903628265,ABIERTO,3167079557,NINGUNO,SIN INFORMACION,25/12/2002
772,683070000000000080048000000000,68307000000000008,0,68307000000080048000,RURAL,DOMINIO,ESCRITURA,300-16072,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,406,Cintia Aragón,CC,706917850,ABIERTO,3187330909,NINGUNO,SIN INFORMACION,12/07/1951
773,683070000000000080047000000000,68307000000000008,0,68307000000080047000,RURAL,DOMINIO,ESCRITURA,300-16073,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,5976,Kike Escrivá-Armengol,CC,833478542,ABIERTO,3143782357,NINGUNO,UNION LIBRE 1 AÑO,15/03/1969
774,683070000000000080046000000000,68307000000000008,0,68307000000080046000,RURAL,DOMINIO,ESCRITURA,300-16074,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,3012,Juan Antonio del Narváez,CC,146911418,ABIERTO,3128943634,NINGUNO,UNION LIBRE 1 AÑO,09/08/1986
775,683070000000000080052000000000,68307000000000008,0,68307000000080052000,RURAL,DOMINIO,ESCRITURA,300-16075,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,3397,Clarisa Díez-Moliner,CC,203072990,ABIERTO,3171616038,NINGUNO,UNION LIBRE 1 AÑO,09/04/1959
776,683070000000000080051000000000,68307000000000008,0,68307000000080051000,RURAL,DOMINIO,ESCRITURA,300-16076,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,3745,Salud Jerez Palacios,CC,859345524,ABIERTO,3175199486,NINGUNO,UNION LIBRE 1 AÑO,17/02/1957
777,683070000000000080057000000000,68307000000000008,0,68307000000080057000,RURAL,DOMINIO,ESCRITURA,300-16077,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,4197,Lola Perales Reyes,CC,443688706,ABIERTO,3117521413,NINGUNO,UNION LIBRE 1 AÑO,02/06/2008
778,683070000000000080049000000000,68307000000000008,0,68307000000080049000,RURAL,DOMINIO,ESCRITURA,300-16078,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,1391,Jose Angel Isern,CC,589778431,ABIERTO,3157722940,NINGUNO,UNION LIBRE 1 AÑO,19/03/1958
779,683070000000000080050000000000,68307000000000008,0,68307000000080050000,RURAL,DOMINIO,ESCRITURA,300-16079,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,7465,Ana Belén Zabala Comas,CC,438476936,ABIERTO,3182152892,NINGUNO,UNION LIBRE 1 AÑO,24/10/1985
780,683070000000000080058000000000,68307000000000008,0,68307000000080058000,RURAL,DOMINIO,ESCRITURA,300-16080,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,3097,Mar Agudo-Samper,CC,930617983,ABIERTO,3150464691,NINGUNO,UNION LIBRE 1 AÑO,04/01/1958
781,683070000000000080059000000000,68307000000000008,0,68307000000080059000,RURAL,DOMINIO,ESCRITURA,300-16081,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,1906,Roque Hervia-Escolano,CC,933098909,ABIERTO,3173587517,NINGUNO,UNION LIBRE 2 AÑOS,01/06/2004
782,683070000000000080325000000000,68307000000000008,0,68307000000080325000,RURAL,DOMINIO,ESCRITURA,300-16082,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,1551,Pío Benítez,CC,870378204,ABIERTO,3177767791,NINGUNO,UNION LIBRE 2 AÑOS,17/07/1994
783,683070000000000080327000000000,68307000000000008,0,68307000000080327000,RURAL,DOMINIO,ESCRITURA,300-16083,COMPRAVENTA,NOTARIA 1 DE FLORIDABLANCA,4582,Trini Galindo Alegria,CC,309070863,ABIERTO,3102366010,NINGUNO,UNION LIBRE 2 AÑOS,20/05/2014
